DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2024,143.71,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2013,97.52,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2014,97.78,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2015,99.21,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2016,103.27,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2017,108.02,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2018,113.30,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2019,118.31,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2020,124.59,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2021,134.89,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2022,144.66,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2023,141.83,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 21 countries (from 2026),2024,144.13,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2013,127.71,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2014,141.74,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2015,148.70,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2016,155.18,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2017,164.39,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2018,171.05,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2019,182.55,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2020,188.88,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Estonia,2021,221.25,,
